axis,amp,first_order_rmse,second_order_rmse,second_order_zero_rmse,best_model,best_params_json
vx,0.3,0.03069909226156298,0.0027165796610817347,0.0008901533522782852,second_order_zero,"{""K"": 0.9788600124752479, ""wn"": 1.1696259095334771, ""zeta"": 0.42766246653808715, ""tau_z"": 0.20391794020286538, ""L"": 0.11624327621286236}"
vx,-0.3,0.03069909226156298,0.002716579661081787,0.0008901533522783099,second_order_zero,"{""K"": 0.97886001345133, ""wn"": 1.1696259149310546, ""zeta"": 0.4276624663189991, ""tau_z"": 0.20391792356347663, ""L"": 0.11624326737748923}"
vx,0.15,0.015697925093201292,0.0014936930553392715,0.00045635098566901386,second_order_zero,"{""K"": 0.9796798417526392, ""wn"": 1.1671841108948768, ""zeta"": 0.4225148366799596, ""tau_z"": 0.20804362545731062, ""L"": 0.11354618927816582}"
vy,0.3,0.03069909226156298,0.0027165796610817347,0.0008901533522782852,second_order_zero,"{""K"": 0.9788600124752479, ""wn"": 1.1696259095334771, ""zeta"": 0.42766246653808715, ""tau_z"": 0.20391794020286538, ""L"": 0.11624327621286236}"
vy,-0.3,0.03069909226156298,0.002716579661081787,0.0008901533522783099,second_order_zero,"{""K"": 0.97886001345133, ""wn"": 1.1696259149310546, ""zeta"": 0.4276624663189991, ""tau_z"": 0.20391792356347663, ""L"": 0.11624326737748923}"
vy,0.15,0.015697925093201292,0.0014936930553392715,0.00045635098566901386,second_order_zero,"{""K"": 0.9796798417526392, ""wn"": 1.1671841108948768, ""zeta"": 0.4225148366799596, ""tau_z"": 0.20804362545731062, ""L"": 0.11354618927816582}"
vz,0.2,0.010225347774215446,0.010225333275975825,0.010223476619331713,first_order,"{""K"": 0.9631054215787344, ""tau"": 0.21343281163189864, ""L"": 0.06793785918838655}"
vz,-0.2,0.011242678052240197,0.011203541687367246,0.009262506891724679,second_order_zero,"{""K"": 0.9346930338216407, ""wn"": 49.47733104690546, ""zeta"": 4.9999999999993605, ""tau_z"": 0.10615458788498602, ""L"": 0.000296010424755918}"
vz,0.1,0.010531985647297603,0.01053198421840314,0.010531779191355659,first_order,"{""K"": 0.9768698159711822, ""tau"": 0.2115412231481934, ""L"": 0.10000280050066364}"
yaw_rate,0.6,0.031483634404898,0.0029496733614074564,0.002949301951507359,second_order,"{""K"": 1.0020490918970169, ""wn"": 39.49929696052631, ""zeta"": 0.18864979414768504, ""L"": 0.0002181099277281657}"
yaw_rate,-0.6,0.031483634404898,0.0029496733613696025,0.0029493019512356507,second_order,"{""K"": 1.0020490913268738, ""wn"": 39.49929178883578, ""zeta"": 0.18864982414332893, ""L"": 0.0002180998017102784}"
yaw_rate,0.3,0.01823275501254307,0.004335992529559445,0.00046849381894204255,second_order_zero,"{""K"": 1.0008314576963433, ""wn"": 39.176875848070665, ""zeta"": 0.1756939060160842, ""tau_z"": 0.007354751217340182, ""L"": 2.7345015896716038e-15}"
