timestamp,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd,target_x,target_y,target_z,target_yaw,pos_error,yaw_error,vel_est_x,vel_est_y,vel_est_z
1777990126879.000000,-1.425316,-2.248656,0.632502,-0.006835,-0.007410,2.960818,-2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.900023,2.960818,0.000000,0.000000,0.000000
1777990126986.000000,-1.401533,-2.262589,0.650377,-0.063519,-0.033807,2.962814,1.922267,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.891254,2.962814,-0.241887,0.088611,0.167058
1777990127086.000000,-1.372575,-2.276694,0.659504,-0.021756,-0.074931,2.996984,-0.324582,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.888304,2.996984,-0.306886,0.097855,0.091267
1777990127213.000000,-1.333133,-2.240617,0.670926,-3.019727,-0.532242,-2.874431,-2.219100,-2.219100,2.219100,0.860000,-1.000000,-1.000000,2.000000,0.000000,1.848390,2.874431,-0.374539,-0.192007,0.089941
1777990127302.000000,-1.317870,-2.299097,0.675937,-0.039391,-0.027335,2.915044,2.173464,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.881977,2.915044,-0.314703,0.601762,0.056302
1777990127392.000000,-1.292098,-2.304201,0.681838,-0.067222,-0.005438,2.918009,0.792211,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.877182,2.918009,-0.291805,-0.008193,0.065567
1777990127497.000000,-1.265295,-2.305435,0.688750,-0.056671,-0.024743,2.921152,0.801789,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.869203,2.921152,-0.251659,-0.044346,0.065827
1777990127598.000000,-1.238346,-2.302540,0.699515,-0.060506,-0.063073,2.883463,1.696524,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.855985,2.883463,-0.250659,-0.095830,0.106581
1777990127698.000000,-1.214179,-2.294189,0.706930,-0.030454,-0.041809,2.840914,2.133261,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.841963,2.840914,-0.206104,-0.151333,0.074157
1777990127808.000000,-1.194611,-2.282483,0.719590,-0.041554,-0.041208,2.828791,2.055634,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.822659,2.828791,-0.136508,-0.155994,0.115086
1777990127902.000000,-1.182233,-2.266607,0.732946,-0.034857,-0.026682,2.798160,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.800813,2.798160,-0.067122,-0.203370,0.142088
1777990128007.000000,-1.173143,-2.247668,0.746292,-0.040815,-0.039371,2.767503,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.777199,2.767503,-0.014672,-0.199533,0.127108
1777990128078.000000,-1.168198,-2.225869,0.762384,-0.049400,-0.061625,2.741961,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.750069,2.741961,0.055303,-0.309936,0.226636
1777990128210.000000,-1.167193,-2.201767,0.777634,-0.060998,-0.025407,2.715711,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.722317,2.715711,0.068500,-0.169424,0.115537
1777990128283.000000,-1.169226,-2.172779,0.794357,-0.064540,-0.044150,2.686903,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.690451,2.686903,0.199418,-0.344523,0.229078
1777990128382.000000,-1.172466,-2.142690,0.810612,-0.056103,-0.018829,2.656091,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.658351,2.656091,0.170775,-0.253537,0.164191
1777990128478.000000,-1.179778,-2.111406,0.828263,-0.053981,-0.045160,2.625520,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.624965,2.625520,0.227051,-0.245853,0.183863
1777990128581.000000,-1.186016,-2.075987,0.844335,-0.041264,-0.024414,2.606904,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.589941,2.606904,0.227338,-0.265014,0.156041
1777990128682.000000,-1.195290,-2.037587,0.861730,-0.046069,-0.017479,2.570339,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.552541,2.570339,0.282810,-0.270183,0.172231
1777990128782.000000,-1.206538,-1.999252,0.878231,-0.030737,-0.019903,2.538714,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.516420,2.538714,0.310021,-0.251984,0.165010
1777990128882.000000,-1.216565,-1.958209,0.895397,-0.039453,-0.000987,2.511769,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.478246,2.511769,0.322774,-0.272632,0.171657
1777990128982.000000,-1.228385,-1.916524,0.910893,-0.037131,-0.017150,2.481215,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.441642,2.481215,0.349054,-0.256698,0.154958
1777990129087.000000,-1.239724,-1.872798,0.927295,-0.068195,-0.023624,2.459553,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.403545,2.459553,0.346339,-0.255206,0.156215
1777990129183.000000,-1.251468,-1.828198,0.944064,-0.042259,-0.012762,2.428243,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.365338,2.428243,0.396526,-0.271257,0.174673
1777990129281.000000,-1.262470,-1.783840,0.957669,-0.058997,-0.022886,2.409911,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.330319,2.409911,0.385945,-0.261774,0.138832
1777990129383.000000,-1.273663,-1.734754,0.976804,-0.046498,-0.011406,2.371266,2.219100,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.289064,2.371266,0.413868,-0.268953,0.187594
1777990129482.000000,-1.284934,-1.686273,0.991591,-0.054837,-0.009794,2.347692,2.030837,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.252616,2.347692,0.429022,-0.262138,0.149362
1777990129582.000000,-1.295505,-1.636662,1.007786,-0.044696,-0.004476,2.304060,1.938077,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.215380,2.304060,0.439358,-0.253505,0.161954
1777990129682.000000,-1.305500,-1.586407,1.022420,-0.039244,-0.008409,2.279859,1.639023,-2.219100,2.219100,-0.860000,-1.000000,-1.000000,2.000000,0.000000,1.180197,2.279859,0.446508,-0.251361,0.146340
